"Insight Version","1.0.5.2"
"Generation Time",2022-11-29 17:13:22
"Date From",2022-11-29 11:21:40
"Date To",2022-11-29 17:13:20

"GMP251","U3730359","1.3.4"

"GMP251","U3930116","1.3.4"

"Timestamp","GMP251 U3730359 - Carbon dioxide concentration (%)","GMP251 U3930116 - Carbon dioxide concentration (%)"
2022-11-29 11:21:40,15.349358,14.883098
2022-11-29 11:21:45,15.275338,14.889205
2022-11-29 11:21:50,15.223231,14.887303
2022-11-29 11:21:55,15.198052,14.853347
2022-11-29 11:22:00,15.184492,14.806855
2022-11-29 11:22:05,15.174764,14.775325
2022-11-29 11:22:10,15.168742,14.663864
2022-11-29 11:22:15,15.149638,14.625827
2022-11-29 11:22:20,15.145590,14.613381
2022-11-29 11:22:25,15.144289,14.586008
2022-11-29 11:22:30,15.140627,14.499677
2022-11-29 11:22:35,15.139398,14.450222
2022-11-29 11:22:40,15.130116,14.425981
2022-11-29 11:22:45,15.122703,14.499139
2022-11-29 11:22:50,15.119778,14.544060
2022-11-29 11:22:55,15.117130,14.546227
2022-11-29 11:23:00,15.110825,14.552355
2022-11-29 11:23:05,15.106228,14.562747
2022-11-29 11:23:10,15.086322,14.563466
2022-11-29 11:23:15,15.069016,14.556319
2022-11-29 11:23:20,15.063436,14.542872
2022-11-29 11:23:25,15.063562,14.530295
2022-11-29 11:23:30,15.063284,14.523475
2022-11-29 11:23:35,15.070994,14.555450
2022-11-29 11:23:40,15.078540,14.649564
2022-11-29 11:23:45,15.082312,14.729006
2022-11-29 11:23:50,15.082656,14.687797
2022-11-29 11:23:55,15.071823,14.629984
2022-11-29 11:24:00,15.066217,14.618045
2022-11-29 11:24:05,15.068795,14.603490
2022-11-29 11:24:10,15.066966,14.580389
2022-11-29 11:24:15,15.062672,14.558017
2022-11-29 11:24:20,15.061645,14.561156
2022-11-29 11:24:25,15.061681,14.565303
2022-11-29 11:24:30,15.061989,14.565752
2022-11-29 11:24:35,15.064561,14.565936
2022-11-29 11:24:40,15.064411,14.577383
2022-11-29 11:24:45,15.064284,14.607050
2022-11-29 11:24:50,15.064575,14.625440
2022-11-29 11:24:55,15.064422,14.642536
2022-11-29 11:25:00,15.063534,14.612012
2022-11-29 11:25:05,15.050962,14.561500
2022-11-29 11:25:10,15.038648,14.472660
2022-11-29 11:25:15,15.039200,14.189295
2022-11-29 11:25:20,15.039336,14.044131
2022-11-29 11:25:25,15.050373,13.910661
2022-11-29 11:25:30,15.062534,13.806183
2022-11-29 11:25:35,15.068325,13.548334
2022-11-29 11:25:40,15.069336,13.504112
2022-11-29 11:25:45,15.068589,13.306838
2022-11-29 11:25:50,15.063439,13.110240
2022-11-29 11:25:55,15.062064,13.043263
2022-11-29 11:26:00,15.062284,13.065345
2022-11-29 11:26:05,15.069860,13.014548
2022-11-29 11:26:10,15.073894,12.970769
2022-11-29 11:26:15,15.072786,12.956500
2022-11-29 11:26:20,15.072877,12.961868
2022-11-29 11:26:25,15.072666,12.947931
2022-11-29 11:26:30,15.072008,12.936241
2022-11-29 11:26:35,15.072190,12.931782
2022-11-29 11:26:40,15.072322,12.915953
2022-11-29 11:26:45,15.072412,12.908002
2022-11-29 11:26:50,15.074616,12.865324
2022-11-29 11:26:55,15.093089,12.790036
2022-11-29 11:27:00,15.097340,12.726924
2022-11-29 11:27:05,15.098131,12.702739
2022-11-29 11:27:10,15.092936,12.665660
2022-11-29 11:27:15,15.091011,12.629792
2022-11-29 11:27:20,15.089747,12.553286
2022-11-29 11:27:25,15.089516,12.524803
2022-11-29 11:27:30,15.086536,12.526637
2022-11-29 11:27:35,15.085389,12.527255
2022-11-29 11:27:40,15.085528,12.501777
2022-11-29 11:27:45,15.083108,12.403396
2022-11-29 11:27:50,15.081875,12.336459
2022-11-29 11:27:55,15.086653,12.262256
2022-11-29 11:28:00,15.094814,12.222052
