Insight Version,1.0.5.2,,,,
Generation Time,11/25/2022 16:05,,,,
Date From,11/25/2022 9:00,,,,
Date To,11/25/2022 16:05,,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,
11/25/2022 9:00,5.615018,2.302336,,,
11/25/2022 9:00,5.613838,2.302354,,,
11/25/2022 9:00,5.61376,2.302333,,,
11/25/2022 9:00,10.112977,2.302308,,,
11/25/2022 9:00,13.058358,4.121758,,,
11/25/2022 9:00,13.612284,4.369457,,,
11/25/2022 9:00,13.805017,4.19494,,,
11/25/2022 9:00,14.261716,4.034922,,,
11/25/2022 9:00,14.583812,4.508677,,,
11/25/2022 9:01,14.935853,8.010629,,,
11/25/2022 9:01,15.214206,9.289909,,,
11/25/2022 9:01,15.296812,10.168216,,,
11/25/2022 9:01,15.35494,10.595725,,,
11/25/2022 9:01,15.391647,11.57866,,,
11/25/2022 9:01,15.445034,11.968808,,,
11/25/2022 9:01,15.465817,12.497694,,,
11/25/2022 9:01,15.479128,12.794976,,,
11/25/2022 9:01,15.494781,13.088381,,,
11/25/2022 9:01,15.515633,13.269125,,,
11/25/2022 9:01,15.52065,13.438206,,,
11/25/2022 9:01,15.535122,13.578805,,,
11/25/2022 9:02,15.555233,13.616639,,,
11/25/2022 9:02,15.570981,13.669034,,,
11/25/2022 9:02,15.604617,13.731816,,,
11/25/2022 9:02,15.653777,13.813375,,,
11/25/2022 9:02,15.702666,13.87098,,,
11/25/2022 9:02,15.72432,13.962622,,,
11/25/2022 9:02,15.734031,14.019284,,,
11/25/2022 9:02,15.728619,14.062719,,,
11/25/2022 9:02,15.728983,14.098062,,,
11/25/2022 9:02,15.733266,14.163408,,,
11/25/2022 9:02,15.732506,14.235653,,,
11/25/2022 9:02,15.664205,14.248814,,,
11/25/2022 9:03,15.564686,14.288412,,,
11/25/2022 9:03,15.526731,14.329553,,,
11/25/2022 9:03,15.469172,14.374162,,,
11/25/2022 9:03,15.456595,14.3806,,,
11/25/2022 9:03,15.429112,14.381425,,,
11/25/2022 9:03,15.398038,14.380336,,,
11/25/2022 9:03,15.366878,14.37524,,,
11/25/2022 9:03,15.320375,14.37272,,,
11/25/2022 9:03,15.303933,14.366116,,,
11/25/2022 9:03,15.303214,14.357864,,,
11/25/2022 9:03,15.305078,14.354088,,,
11/25/2022 9:03,15.313694,14.353031,,,
11/25/2022 9:04,15.323478,14.351822,,,
11/25/2022 9:04,15.328255,14.340969,,,
11/25/2022 9:04,15.331116,14.332222,,,
11/25/2022 9:04,15.248972,14.322228,,,
11/25/2022 9:04,15.14412,14.316711,,,
11/25/2022 9:04,15.054566,14.309756,,,
11/25/2022 9:04,15.030284,14.307672,,,
11/25/2022 9:04,15.017894,14.322722,,,
11/25/2022 9:04,15.014944,14.327914,,,
11/25/2022 9:04,15.014125,14.329731,,,
11/25/2022 9:04,15.00495,14.329775,,,
11/25/2022 9:04,14.99219,14.328872,,,
11/25/2022 9:05,14.976095,14.322447,,,
11/25/2022 9:05,14.960016,14.283139,,,
11/25/2022 9:05,14.931305,14.255306,,,
11/25/2022 9:05,14.928319,14.231008,,,
11/25/2022 9:05,14.921934,14.212344,,,
11/25/2022 9:05,14.900738,14.203053,,,
11/25/2022 9:05,14.879402,14.167844,,,
11/25/2022 9:05,14.879047,14.132758,,,
11/25/2022 9:05,14.8784,14.049122,,,
11/25/2022 9:05,14.877031,13.978753,,,
11/25/2022 9:05,14.874831,13.877933,,,
11/25/2022 9:05,14.874481,13.839262,,,
11/25/2022 9:06,14.87329,13.788773,,,
11/25/2022 9:06,14.864103,13.649017,,,
11/25/2022 9:06,14.861356,13.442616,,,
11/25/2022 9:06,14.851231,13.317503,,,
11/25/2022 9:06,14.864505,13.260884,,,
11/25/2022 9:06,14.938206,13.075574,,,
11/25/2022 9:06,14.941084,13.028673,,,
11/25/2022 9:06,14.944981,12.998531,,,
11/25/2022 9:06,14.95067,12.988384,,,
11/25/2022 9:06,14.95634,12.976806,,,
11/25/2022 9:06,14.959403,12.968233,,,
11/25/2022 9:06,14.967872,12.939439,,,
11/25/2022 9:07,14.969316,12.913412,,,
11/25/2022 9:07,14.971475,12.87633,,,
11/25/2022 9:07,14.9784,12.849241,,,
11/25/2022 9:07,14.984558,12.822397,,,
11/25/2022 9:07,14.99205,12.803658,,,
11/25/2022 9:07,14.997519,12.789117,,,
11/25/2022 9:07,14.999577,12.787345,,,
11/25/2022 9:07,14.998503,12.787494,,,
11/25/2022 9:07,14.998227,12.76828,,,
11/25/2022 9:07,14.998067,12.753312,,,
11/25/2022 9:07,15.001203,12.722908,,,
11/25/2022 9:07,15.017612,12.70816,,,
11/25/2022 9:08,15.025344,12.704859,,,
11/25/2022 9:08,15.025077,12.704834,,,
11/25/2022 9:08,15.025555,12.700616,,,
11/25/2022 9:08,15.02616,12.695092,,,
11/25/2022 9:08,15.016966,12.684447,,,
11/25/2022 9:08,15.000544,12.678941,,,
11/25/2022 9:08,15.000584,12.665373,,,
11/25/2022 9:08,15.012638,12.642701,,,
11/25/2022 9:08,15.027578,12.633634,,,
11/25/2022 9:08,15.046205,12.616527,,,
11/25/2022 9:08,15.049925,12.607215,,,
11/25/2022 9:08,15.052906,12.596807,,,
