Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:28,14.787522,14.69325,,,,,
12/7/2022 10:29,14.784948,14.687883,,,,,
12/7/2022 10:29,14.766603,14.679455,,,,,
12/7/2022 10:29,14.761856,14.656333,,,,,
12/7/2022 10:29,14.753523,14.638462,,,,,
12/7/2022 10:29,14.745095,14.631153,,,,,
12/7/2022 10:29,14.74045,14.61961,,,,,
12/7/2022 10:29,14.739472,14.60863,,,,,
12/7/2022 10:29,14.738123,14.59418,,,,,
12/7/2022 10:29,14.734089,14.590222,,,,,
12/7/2022 10:29,14.731281,14.586138,,,,,
12/7/2022 10:29,14.723825,14.585022,,,,,
12/7/2022 10:29,14.721784,14.58492,,,,,
12/7/2022 10:30,14.720052,14.584769,,,,,
12/7/2022 10:30,14.714769,14.584556,,,,,
12/7/2022 10:30,14.662056,14.585069,,,,,
12/7/2022 10:30,14.630969,14.588039,,,,,
12/7/2022 10:30,14.628627,14.568948,,,,,
12/7/2022 10:30,14.626906,14.531125,,,,,
12/7/2022 10:30,14.625086,14.505767,,,,,
12/7/2022 10:30,14.624606,14.503581,,,,,
12/7/2022 10:30,14.624648,14.507038,,,,,
12/7/2022 10:30,14.62439,14.516392,,,,,
12/7/2022 10:30,14.615808,14.510217,,,,,
12/7/2022 10:30,14.609256,14.502017,,,,,
12/7/2022 10:31,14.604905,14.498772,,,,,
12/7/2022 10:31,14.597617,14.49046,,,,,
12/7/2022 10:31,14.591434,14.482,,,,,
12/7/2022 10:31,14.566055,14.480538,,,,,
12/7/2022 10:31,14.549319,14.471258,,,,,
12/7/2022 10:31,14.543262,14.462789,,,,,
12/7/2022 10:31,14.543711,14.450769,,,,,
12/7/2022 10:31,14.54007,14.439458,,,,,
12/7/2022 10:31,14.517928,14.418947,,,,,
12/7/2022 10:31,14.495922,14.410247,,,,,
12/7/2022 10:31,14.495869,14.40767,,,,,
12/7/2022 10:31,14.497069,14.391452,,,,,
12/7/2022 10:32,14.493397,14.385231,,,,,
12/7/2022 10:32,14.487973,14.379106,,,,,
12/7/2022 10:32,14.478925,14.373675,,,,,
12/7/2022 10:32,14.472036,14.341016,,,,,
12/7/2022 10:32,14.454245,14.317475,,,,,
12/7/2022 10:32,14.446239,14.306477,,,,,
12/7/2022 10:32,14.443756,14.306339,,,,,
12/7/2022 10:32,14.440681,14.30094,,,,,
12/7/2022 10:32,14.429927,14.282923,,,,,
12/7/2022 10:32,14.423562,14.276855,,,,,
12/7/2022 10:32,14.406316,14.266705,,,,,
12/7/2022 10:32,14.393138,12.330763,,,,,
12/7/2022 10:33,14.382883,10.926,,,,,
12/7/2022 10:33,14.364747,10.837338,,,,,
12/7/2022 10:33,14.364228,10.766449,,,,,
12/7/2022 10:33,14.3789,10.747067,,,,,
12/7/2022 10:33,14.563614,10.732618,,,,,
12/7/2022 10:33,14.815942,10.714188,,,,,
12/7/2022 10:33,14.934673,10.681305,,,,,
12/7/2022 10:33,15.01388,10.670555,,,,,
12/7/2022 10:33,15.016866,10.628538,,,,,
12/7/2022 10:33,15.016745,10.614316,,,,,
12/7/2022 10:33,15.020973,10.645897,,,,,
12/7/2022 10:33,15.031081,10.688727,,,,,
12/7/2022 10:34,15.032333,10.763266,,,,,
12/7/2022 10:34,15.032014,10.815884,,,,,
12/7/2022 10:34,15.030725,10.84702,,,,,
12/7/2022 10:34,15.027606,10.898207,,,,,
12/7/2022 10:34,15.027127,10.920592,,,,,
